,TimeStamp,Trade
169,23-09-2020 05:15:28.383 [DefaultMessageListenerContainer-1],20200923045443
170,23-09-2020 05:15:28.387 [DefaultMessageListenerContainer-1],20200923045444
171,23-09-2020 05:15:28.405 [DefaultMessageListenerContainer-1],20200923045445
172,23-09-2020 05:15:28.409 [DefaultMessageListenerContainer-1],20200923045446
173,23-09-2020 05:15:28.416 [DefaultMessageListenerContainer-1],20200923045447
174,23-09-2020 05:15:28.429 [DefaultMessageListenerContainer-1],20200923045449
175,23-09-2020 05:15:28.447 [DefaultMessageListenerContainer-1],20200923045450
176,23-09-2020 05:15:28.452 [DefaultMessageListenerContainer-1],20200923045451
177,23-09-2020 05:15:28.455 [DefaultMessageListenerContainer-1],20200923045452
178,23-09-2020 05:15:28.459 [DefaultMessageListenerContainer-1],20200923045453
179,23-09-2020 05:15:28.463 [DefaultMessageListenerContainer-1],20200923045454
180,23-09-2020 05:15:28.467 [DefaultMessageListenerContainer-1],20200923045455
181,23-09-2020 05:15:28.471 [DefaultMessageListenerContainer-1],20200923045456
182,23-09-2020 05:15:28.477 [DefaultMessageListenerContainer-1],20200923045457
183,23-09-2020 05:15:28.481 [DefaultMessageListenerContainer-1],20200923045458
184,23-09-2020 05:15:28.485 [DefaultMessageListenerContainer-1],20200923045459
185,23-09-2020 05:15:28.489 [DefaultMessageListenerContainer-1],20200923045500
186,23-09-2020 05:15:28.493 [DefaultMessageListenerContainer-1],20200923045501
187,23-09-2020 05:15:28.502 [DefaultMessageListenerContainer-1],20200923045502
188,23-09-2020 05:15:28.549 [DefaultMessageListenerContainer-1],20200923045503
189,23-09-2020 05:15:28.554 [DefaultMessageListenerContainer-1],20200923045504
190,23-09-2020 05:15:28.558 [DefaultMessageListenerContainer-1],20200923045505
191,23-09-2020 05:15:28.564 [DefaultMessageListenerContainer-1],20200923045506
192,23-09-2020 05:15:28.568 [DefaultMessageListenerContainer-1],20200923045507
193,23-09-2020 05:15:28.572 [DefaultMessageListenerContainer-1],20200923045509
194,23-09-2020 05:15:28.576 [DefaultMessageListenerContainer-1],20200923045510
195,23-09-2020 05:15:28.580 [DefaultMessageListenerContainer-1],20200923045511
196,23-09-2020 05:15:28.584 [DefaultMessageListenerContainer-1],20200923045512
197,23-09-2020 05:15:28.600 [DefaultMessageListenerContainer-1],20200923045513
198,23-09-2020 05:15:28.605 [DefaultMessageListenerContainer-1],20200923045514
199,23-09-2020 05:15:28.609 [DefaultMessageListenerContainer-1],20200923045515
200,23-09-2020 05:15:28.613 [DefaultMessageListenerContainer-1],20200923045531
201,23-09-2020 05:15:28.617 [DefaultMessageListenerContainer-1],20200923045532
202,23-09-2020 05:15:28.621 [DefaultMessageListenerContainer-1],20200923045533
203,23-09-2020 05:15:28.625 [DefaultMessageListenerContainer-1],20200923045534
204,23-09-2020 05:15:28.629 [DefaultMessageListenerContainer-1],20200923045535
205,23-09-2020 05:15:28.633 [DefaultMessageListenerContainer-1],20200923045536
206,23-09-2020 05:15:28.638 [DefaultMessageListenerContainer-1],20200923045538
207,23-09-2020 05:15:28.642 [DefaultMessageListenerContainer-1],20200923045539
208,23-09-2020 05:15:28.647 [DefaultMessageListenerContainer-1],20200923045540
209,23-09-2020 05:15:28.654 [DefaultMessageListenerContainer-1],20200923045541
210,23-09-2020 05:15:28.659 [DefaultMessageListenerContainer-1],20200923045542
211,23-09-2020 05:15:28.706 [DefaultMessageListenerContainer-1],20200923045543
212,23-09-2020 05:15:28.710 [DefaultMessageListenerContainer-1],20200923045544
