,TimeStamp,Trade
218,05:17:23.509,20200923045656
219,05:17:23.706,20200923045533
220,05:17:24.026,20200923045645
221,05:17:24.594,20200923045658
222,05:17:24.608,20200923045535
223,05:17:25.321,20200923045536
224,05:17:25.337,20200923045624
225,05:17:25.812,20200923045649
226,05:17:26.225,20200923045402
227,05:17:26.309,20200923045704
228,05:17:26.901,20200923045653
229,05:17:27.109,20200923045544
230,05:17:27.325,20200923045707
231,05:17:27.817,20200923045657
232,05:17:27.919,20200923045419
233,05:17:28.322,20200923045659
234,05:17:28.807,20200923045510
235,05:17:28.834,20200923045641
236,05:17:29.319,20200923045715
237,05:17:29.502,20200923045421
238,05:17:29.810,20200923045702
239,05:17:30.324,20200923045716
240,05:17:30.339,20200923045512
241,05:17:30.822,20200923045734
242,05:17:31.212,20200923045549
243,05:17:31.308,20200923045736
244,05:17:31.816,20200923045713
245,05:17:32.005,20200923045428
246,05:17:32.418,20200923045700
247,05:17:32.808,20200923045539
248,05:17:33.119,20200923045733
249,05:17:33.504,20200923045554
250,05:17:33.760,20200923045705
251,05:17:34.315,20200923045735
252,05:17:34.511,20200923045436
253,05:17:34.897,20200923045747
254,05:17:35.499,20200923045742
255,05:17:35.518,20200923045543
256,05:17:36.111,20200923045711
257,05:17:36.701,20200923045558
258,05:17:36.708,20200923045753
259,05:17:37.401,20200923045738
260,05:17:37.598,20200923045439
261,05:17:38.011,20200923045739
262,05:17:38.502,20200923045752
263,05:17:38.597,20200923045551
264,05:17:39.017,20200923045741
265,05:17:39.494,20200923045756
266,05:17:39.512,20200923045441
267,05:17:39.916,20200923045800
268,05:17:40.420,20200923045805
269,05:17:40.506,20200923045606
270,05:17:40.902,20200923045757
271,05:17:41.423,20200923045607
272,05:17:41.450,20200923045802
273,05:17:41.913,20200923045807
274,05:17:42.319,20200923045553
275,05:17:42.504,20200923045809
276,05:17:43.104,20200923045818
277,05:17:43.310,20200923045608
278,05:17:43.592,20200923045804
279,05:17:44.018,20200923045816
280,05:17:44.209,20200923045609
281,05:17:44.511,20200923045817
282,05:17:45.010,20200923045812
283,05:17:45.095,20200923045601
284,05:17:45.522,20200923045813
285,05:17:45.911,20200923045612
286,05:17:46.010,20200923045828
287,05:17:46.506,20200923045815
288,05:17:46.811,20200923045613
289,05:17:47.604,20200923045505
290,05:17:47.707,20200923045821
291,05:17:48.211,20200923045829
292,05:17:48.404,20200923045506
293,05:17:48.722,20200923045822
294,05:17:49.208,20200923045618
295,05:17:49.224,20200923045823
296,05:17:49.728,20200923045840
297,05:17:50.008,20200923045617
298,05:17:50.323,20200923045839
299,05:17:50.814,20200923045836
300,05:17:50.819,20200923045515
301,05:17:51.308,20200923045844
302,05:17:51.708,20200923045623
303,05:17:51.828,20200923045837
304,05:17:52.506,20200923045531
305,05:17:52.522,20200923045838
306,05:17:53.120,20200923045853
307,05:17:53.256,20200923045532
308,05:17:53.706,20200923045841
309,05:17:54.136,20200923045628
310,05:17:54.296,20200923045854
311,05:17:54.898,20200923045856
312,05:17:54.928,20200923045629
313,05:17:55.493,20200923045902
314,05:17:55.808,20200923045630
315,05:17:56.008,20200923045905
316,05:17:56.594,20200923045850
317,05:17:56.609,20200923045632
318,05:17:57.120,20200923045900
319,05:17:57.400,20200923045542
320,05:17:57.708,20200923045909
321,05:17:58.227,20200923045639
322,05:17:58.243,20200923045858
323,05:17:58.707,20200923045915
324,05:17:59.004,20200923045555
325,05:17:59.218,20200923045903
326,05:17:59.694,20200923045337
327,05:17:59.911,20200923045642
328,05:18:00.206,20200923045336
329,05:18:00.693,20200923045907
330,05:18:00.806,20200923045640
331,05:18:01.200,20200923045344
332,05:18:01.711,20200923045652
333,05:18:01.740,20200923045910
334,05:18:02.511,20200923045644
335,05:18:02.517,20200923045348
336,05:18:03.032,20200923045400
337,05:18:03.315,20200923045611
338,05:18:03.620,20200923045913
339,05:18:04.203,20200923045622
340,05:18:04.218,20200923045914
341,05:18:04.907,20200923045403
342,05:18:05.009,20200923045647
343,05:18:05.709,20200923045330
344,05:18:06.025,20200923045703
345,05:18:06.318,20200923045332
346,05:18:06.908,20200923045650
347,05:18:07.011,20200923045416
348,05:18:07.596,20200923045357
349,05:18:07.706,20200923045626
350,05:18:08.101,20200923045404
