,Trade,StartTime,EndTime,ElapseTime
427,20200923045638,23-09-2020 05:15:30.778000,23-09-2020 05:17:20.006000,109228.0
428,20200923045639,23-09-2020 05:15:29.009000,23-09-2020 05:17:58.227000,149218.0
429,20200923045639,23-09-2020 05:15:30.782000,23-09-2020 05:20:05.497000,274715.0
430,20200923045640,23-09-2020 05:15:30.786000,23-09-2020 05:18:00.806000,150020.0
431,20200923045640,23-09-2020 05:15:29.013000,23-09-2020 05:18:53.319000,204306.0
432,20200923045641,23-09-2020 05:15:29.021000,23-09-2020 05:20:06.233000,277212.0
433,20200923045641,23-09-2020 05:15:30.790000,23-09-2020 05:17:28.834000,118044.0
434,20200923045642,23-09-2020 05:15:30.794000,23-09-2020 05:17:59.911000,149117.0
435,20200923045642,23-09-2020 05:15:29.024000,23-09-2020 05:18:47.614000,198590.0
436,20200923045643,23-09-2020 05:15:29.028000,23-09-2020 05:20:06.960000,277932.0
437,20200923045643,23-09-2020 05:15:30.799000,23-09-2020 05:17:22.037000,111238.0
438,20200923045644,23-09-2020 05:15:29.032000,23-09-2020 05:18:02.511000,153479.0
439,20200923045644,23-09-2020 05:15:30.809000,23-09-2020 05:18:49.212000,198403.0
440,20200923045645,23-09-2020 05:15:30.824000,23-09-2020 05:17:24.026000,113202.0
441,20200923045645,23-09-2020 05:15:29.036000,23-09-2020 05:20:09.980000,280944.0
442,20200923045646,23-09-2020 05:15:29.040000,23-09-2020 05:18:12.617000,163577.0
443,20200923045646,23-09-2020 05:15:30.833000,23-09-2020 05:18:48.113000,197280.0
444,20200923045647,23-09-2020 05:15:29.046000,23-09-2020 05:18:51.115000,202069.0
445,20200923045647,23-09-2020 05:15:30.838000,23-09-2020 05:18:05.009000,154171.0
446,20200923045648,23-09-2020 05:15:30.843000,23-09-2020 05:18:48.623000,197780.0
447,20200923045648,23-09-2020 05:15:29.051000,23-09-2020 05:18:13.331000,164280.0
448,20200923045649,23-09-2020 05:15:30.847000,23-09-2020 05:20:12.125000,281278.0
449,20200923045649,23-09-2020 05:15:29.057000,23-09-2020 05:17:25.812000,116755.0
450,20200923045650,23-09-2020 05:15:30.851000,23-09-2020 05:18:06.908000,156057.0
451,20200923045650,23-09-2020 05:15:29.060000,23-09-2020 05:18:52.806000,203746.0
452,20200923045651,23-09-2020 05:15:30.859000,23-09-2020 05:18:49.727000,198868.0
453,20200923045651,23-09-2020 05:15:29.065000,23-09-2020 05:18:15.112000,166047.0
454,20200923045652,23-09-2020 05:15:30.863000,23-09-2020 05:20:15.714000,284851.0
455,20200923045652,23-09-2020 05:15:29.069000,23-09-2020 05:18:01.711000,152642.0
456,20200923045653,23-09-2020 05:15:29.073000,23-09-2020 05:17:26.901000,117828.0
457,20200923045653,23-09-2020 05:15:30.869000,23-09-2020 05:20:14.981000,284112.0
458,20200923045654,23-09-2020 05:15:30.873000,23-09-2020 05:20:10.717000,279844.0
459,20200923045654,23-09-2020 05:15:29.077000,23-09-2020 05:18:15.907000,166830.0
460,20200923045656,23-09-2020 05:15:30.877000,23-09-2020 05:20:16.471000,285594.0
461,20200923045656,23-09-2020 05:15:29.081000,23-09-2020 05:17:23.509000,114428.0
462,20200923045657,23-09-2020 05:15:30.880000,23-09-2020 05:17:27.817000,116937.0
463,20200923045657,23-09-2020 05:15:29.084000,23-09-2020 05:18:54.612000,205528.0
464,20200923045658,23-09-2020 05:15:29.088000,23-09-2020 05:20:18.014000,288926.0
465,20200923045658,23-09-2020 05:15:30.884000,23-09-2020 05:17:24.594000,113710.0
466,20200923045659,23-09-2020 05:15:29.092000,23-09-2020 05:20:17.372000,288280.0
467,20200923045659,23-09-2020 05:15:30.888000,23-09-2020 05:17:28.322000,117434.0
468,20200923045700,23-09-2020 05:15:29.096000,23-09-2020 05:17:32.418000,123322.0
469,20200923045700,23-09-2020 05:15:30.892000,23-09-2020 05:18:51.698000,200806.0
470,20200923045701,23-09-2020 05:15:30.896000,23-09-2020 05:18:56.396000,205500.0
471,20200923045701,23-09-2020 05:15:29.101000,23-09-2020 05:18:11.806000,162705.0
472,20200923045702,23-09-2020 05:15:30.913000,23-09-2020 05:20:19.595000,288682.0
473,20200923045702,23-09-2020 05:15:29.106000,23-09-2020 05:17:29.810000,120704.0
474,20200923045703,23-09-2020 05:15:29.110000,23-09-2020 05:20:18.886000,289776.0
475,20200923045703,23-09-2020 05:15:30.925000,23-09-2020 05:18:06.025000,155100.0
476,20200923045704,23-09-2020 05:15:30.933000,23-09-2020 05:17:26.309000,115376.0
477,20200923045704,23-09-2020 05:15:29.115000,23-09-2020 05:18:57.429000,208314.0
478,20200923045705,23-09-2020 05:15:29.121000,23-09-2020 05:18:52.217000,203096.0
479,20200923045705,23-09-2020 05:15:30.939000,23-09-2020 05:17:33.760000,122821.0
480,20200923045706,23-09-2020 05:15:30.945000,23-09-2020 05:20:13.977000,283032.0
481,20200923045706,23-09-2020 05:15:29.125000,23-09-2020 05:18:20.307000,171182.0
482,20200923045707,23-09-2020 05:15:29.130000,23-09-2020 05:20:20.836000,291706.0
483,20200923045707,23-09-2020 05:15:30.949000,23-09-2020 05:17:27.325000,116376.0
484,20200923045708,23-09-2020 05:15:30.953000,23-09-2020 05:18:58.330000,207377.0
485,20200923045708,23-09-2020 05:15:29.135000,23-09-2020 05:18:14.120000,164985.0
486,20200923045709,23-09-2020 05:15:29.139000,23-09-2020 05:18:54.015000,204876.0
487,20200923045709,23-09-2020 05:15:30.958000,23-09-2020 05:18:21.094000,170136.0
488,20200923045710,23-09-2020 05:15:29.143000,23-09-2020 05:18:59.311000,210168.0
489,20200923045710,23-09-2020 05:15:30.962000,23-09-2020 05:18:09.406000,158444.0
490,20200923045711,23-09-2020 05:15:29.146000,23-09-2020 05:18:55.215000,206069.0
491,20200923045711,23-09-2020 05:15:31.023000,23-09-2020 05:17:36.111000,125088.0
492,20200923045712,23-09-2020 05:15:29.150000,23-09-2020 05:18:10.906000,161756.0
493,20200923045712,23-09-2020 05:15:31.040000,23-09-2020 05:20:23.596000,292556.0
494,20200923045713,23-09-2020 05:15:31.050000,23-09-2020 05:17:31.816000,120766.0
495,20200923045713,23-09-2020 05:15:29.154000,23-09-2020 05:20:22.950000,293796.0
496,20200923045715,23-09-2020 05:15:29.158000,23-09-2020 05:17:29.319000,120161.0
497,20200923045715,23-09-2020 05:15:31.059000,23-09-2020 05:20:25.196000,294137.0
498,20200923045716,23-09-2020 05:15:29.162000,23-09-2020 05:19:03.361000,214199.0
499,20200923045716,23-09-2020 05:15:31.067000,23-09-2020 05:17:30.324000,119257.0
500,20200923045731,23-09-2020 05:15:31.035000,23-09-2020 05:20:21.499000,290464.0
501,20200923045731,23-09-2020 05:15:29.166000,23-09-2020 05:18:16.815000,167649.0
502,20200923045733,23-09-2020 05:15:31.046000,23-09-2020 05:17:33.119000,122073.0
503,20200923045733,23-09-2020 05:15:29.170000,23-09-2020 05:20:22.160000,292990.0
504,20200923045734,23-09-2020 05:15:29.174000,23-09-2020 05:17:30.822000,121648.0
505,20200923045734,23-09-2020 05:15:31.055000,23-09-2020 05:20:24.603000,293548.0
506,20200923045735,23-09-2020 05:15:29.177000,23-09-2020 05:19:01.208000,212031.0
507,20200923045735,23-09-2020 05:15:31.063000,23-09-2020 05:17:34.315000,123252.0
508,20200923045736,23-09-2020 05:15:29.184000,23-09-2020 05:20:27.158000,297974.0
